,"All Economic Activities, Total Business Start-Ups","All Economic Activities, 1 Employed Person or Less","All Economic Activities, 2 to 10 Employed Persons","All Economic Activities, 10 to 50 Employed Persons","All Economic Activities, 50 to 250 Employed Persons","All Economic Activities, 250 Employees or More","Netherlands, Gross Domestic Product, Total, Total, Constant Prices, SA, EUR [billions]","Netherlands, GDP [thousands]","Netherlands, Interbank Rates, EURIBOR, 1 Month, Fixing","Netherlands, Three month money market rate","Netherlands, Policy Rates, ECB, Fixed Rate Tenders","Netherlands, Eurostat, HICP, All-Items HICP, 2015=100, Index","Netherlands, Employment","Netherlands, Monetary Statistics, Monetary Aggregates, M3, Total (incl. Currency in Circulation), EUR [billions]","Netherlands, Eurostat, Consumer Surveys, Eurostat, Consumer Confidence, Price Trends Over the Next 12 Months","Netherlands, Composite PMI, EUR","Netherlands, OECD Economic Outlook, Hours Worked per Worker, Total Economy, Estimate, Calendar Adjusted, SA","Netherlands, Total hours worked","Netherlands, Eurostat, Employment & Unemployment, Unemployment, LFS Adjusted Series, Unemployment by Sex & Age - Monthly Average, Males & Females, All Ages, Total, Percentage of Active Population, SA","Netherlands, Unemployment","Netherlands, Lending Surveys, Central Bank of Netherlands, Bank Lending Survey, Credit Standards Past 3 Months, Enterprises, Total","Netherlands, Lending Surveys, Central Bank of Netherlands, Bank Lending Survey, Demand for Loans Past 3 Months, Enterprises, Total","Netherlands, BIS Credit to Non-Financial Sectors, From All Sectors To Non Financial Sector, Market Value, Adjusted for Breaks, EUR [billions]","Netherlands, Deposits & Loans, MFIs, Loans, By Entity, to Euro Area Residents, Private Sector, Non-Financial Private Corporations, Total, EUR [billions]","Netherlands, Wages & Salaries, Wages, Hourly, Total, Incl. Bonus, Index","Netherlands, Producer Price Index, C Manufactured Products, Index","Netherlands, OECD MEI, Producer Prices Index, Economic Activities, Manufacturing, Total, Index","Netherlands, DG ECFIN AMECO, Population & Employment, Unemployment, NAWRU, Estimate","Netherlands, Gross Domestic Product, Total, Total, Current Prices, SA, EUR [billions]","Netherlands, Nominal GDP [thousands]","Netherlands, Government Benchmarks, Macrobond, 5 Year, Yield","Euro Area, Swap Rates, Macrobond, EUR, 5 Year, Mid","Euro Area 19, Long term interest rate","Netherlands, ECB, Interest Rates, MFI Interest Rates, Non-Financial Corporations, Loans (Cost Borrowing Indicator, Sum of A2A & A2Z (Non-Financial Corporations)), Annualised Agreed Rate (AAR) / Narrowly Defined Effective Rate (NDER), Total Calculated by Weighting the Volumes with a Moving Average, Total, New Business, Currency Denominator: Euro","Netherlands, Income Approach, Total Economy, Operating Surplus, Net, Current Prices, SA, EUR [billions]","Netherlands, OECD QNA, Gross Domestic Product, Gross Domestic Product - Expenditure Approach, Final Consumption Expenditure, Private Final Consumption Expenditure, Total, OECD Reference Year, Constant Prices, SA, AR, EUR [billions]","Netherlands, Eurostat, Job Vacancy, Job Vacancy Rate, Total, Business Economy (B-N), SA","World, Crude Oil, Brent, Spot, FOB North Sea, ICE, Close, USD","Natural Gas, Dutch TTF Natural Gas (TTFI), Index, EUR"
1/1/2006,,,,,,,180,180,2.5,2.6,2,86,8052,566,17,56,1443,356,6.4,6.4,0,40,1858.313,185.4,,,88,5,144,143,3.3,3.4,3.5,3.9,38,306,,63,
4/1/2006,,,,,,,183,183,2.7,2.9,3,87,8076,581,15,57,1433,357,6.1,6.1,0,0,1870.981,191.8,,,90,5,146,146,3.7,3.9,4.0,4.0,39,310,,70,
7/1/2006,,,,,,,184,184,3.1,3.2,3,87,8113,579,22,58,1440,358,5.9,5.9,-20,20,1899.01,193.4,,,91,5,148,148,3.7,3.9,3.9,4.3,39,310,,71,
10/1/2007,,,,,,,185,185,3.5,3.6,3,87,8177,609,26,56,1438,358,5.9,5.9,20,20,1898.546,208.0,,,89,5,150,151,3.7,3.9,3.8,4.7,40,309,,61,
1/1/2007,46865,38495,7735,565,70,0,188,188,3.7,3.8,4,88,8246,642,23,58,1448,358,5.6,5.6,20,20,1937.808,230.1,,,90,5,153,153,4.0,4.2,4.1,4.8,41,312,,58,
4/1/2007,50110,43255,6375,425,55,0,189,189,4.0,4.1,4,89,8318,650,25,58,1446,357,5.3,5.3,0,20,1955.707,236.3,,,93,5,154,154,4.3,4.5,4.4,5.0,43,313,,69,
7/1/2007,43325,33400,9290,580,55,0,191,191,4.3,4.5,4,88,8364,663,30,57,1437,357,5.2,5.2,0,20,1980.394,244.4,,,95,5,156,156,4.3,4.6,4.4,5.3,43,315,,74,
10/1/2007,35945,29740,5780,370,55,0,194,194,4.4,4.7,4,89,8401,665,41,55,1434,357,5.1,5.1,60,-40,1989.286,256.1,,,97,5,159,160,4.1,4.5,4.3,5.4,43,318,,88,
1/1/2008,33460,27395,5655,355,50,0,195,195,4.2,4.5,4,89,8467,657,39,53,1441,356,4.8,4.8,60,20,2041.363,274.9,,,99,5,161,162,3.7,4.1,4.1,5.3,43,316,3,96,
4/1/2008,47585,42220,4995,345,35,0,195,195,4.4,4.9,4,91,8519,691,35,52,1439,358,4.8,4.8,60,-20,2083.789,290.8,,,104,5,163,163,4.2,4.6,4.4,5.4,43,318,3,122,
7/1/2008,40790,33290,6990,460,50,0,195,195,4.5,5.0,4,91,8539,684,32,50,1433,358,4.7,4.7,60,-20,2103.671,300.3,,,105,5,164,163,4.3,4.8,4.5,5.6,43,317,3,118,
10/1/2008,43670,32395,10855,370,40,0,192,192,3.9,4.2,3,91,8569,691,16,43,1436,357,4.7,4.7,75,50,2186.972,298.4,,,95,5,163,164,3.3,3.8,3.9,5.1,43,316,3,58,
1/1/2009,28810,28190,585,25,10,0,188,188,1.7,2.0,2,91,8599,704,-10,38,1434,356,4.9,4.9,100,-60,2223.171,296.1,,,88,5,159,159,2.9,2.9,3.7,3.5,39,313,2,45,
4/1/2009,56190,50735,5230,205,20,0,186,186,0.9,1.3,1,92,8556,721,-11,42,1429,355,5.2,5.2,80,-20,2230.705,299.7,,,88,5,157,157,2.9,2.8,3.9,3.0,34,310,2,59,
7/1/2009,47575,42110,5200,225,40,0,186,186,0.5,0.9,1,91,8504,730,-9,48,1421,354,5.6,5.6,60,-80,2236.456,301.6,,,90,5,157,156,2.7,2.8,3.7,2.6,37,310,2,69,
10/1/2009,55880,46430,9040,370,40,0,188,188,0.4,0.7,1,91,8460,736,3,50,1426,355,5.9,5.9,20,-80,2215.735,305.2,,,91,6,158,158,2.5,2.7,3.6,2.6,38,310,2,75,
1/1/2010,24560,23095,1425,35,5,0,188,188,0.4,0.7,1,91,8423,740,6,54,1419,357,6.2,6.2,40,-60,2264.85,309.0,,,93,6,158,158,2.4,2.6,3.5,2.6,38,309,2,77,
4/1/2010,57665,52375,5045,215,30,0,189,189,0.4,0.7,1,93,8435,757,15,55,1422,356,6.1,6.1,33,-50,2335.77,313.1,,,98,6,161,161,1.9,2.2,3.4,2.5,39,310,2,80,15
7/1/2010,42375,35840,6290,215,30,0,190,190,0.6,0.9,1,92,8441,764,20,54,1436,357,6.1,6.1,14,-29,2362.536,322.8,,,98,6,161,160,1.7,2.0,3.1,2.5,40,311,2,77,19
10/1/2010,36630,31180,5190,235,25,0,191,191,0.8,1.0,1,92,8461,754,24,56,1433,357,5.9,5.9,14,0,2394.819,333.2,,,100,6,162,164,1.8,2.3,3.4,2.8,40,314,2,87,20
1/1/2011,36240,31305,4700,210,25,0,193,193,0.9,1.1,1,93,8438,752,32,57,1428,357,5.8,5.8,-14,0,2418.361,341.6,,,106,6,163,163,2.3,2.8,3.9,2.9,41,313,2,105,23
4/1/2011,48040,43820,4070,140,15,0,193,193,1.2,1.4,1,95,8422,767,28,55,1410,357,5.8,5.8,-14,14,2472.508,349.1,,,109,6,164,164,2.7,2.9,4.0,3.2,41,313,2,117,23
7/1/2011,37745,32620,4870,215,35,0,193,193,1.4,1.6,1,95,8433,778,26,51,1431,356,6.1,6.1,-29,0,2515.437,350.7,,,108,6,164,164,1.8,2.3,3.7,3.1,41,312,2,112,23
10/1/2011,44740,36920,7505,290,30,0,192,192,1.2,1.5,1,95,8479,787,28,47,1436,355,6.5,6.5,14,-14,2566.857,350.5,,,108,6,164,165,1.7,2.0,3.8,3.1,40,311,2,109,25
1/1/2012,35850,32500,3255,85,10,0,192,192,0.6,1.0,1,96,8486,809,23,49,1424,355,6.5,6.5,14,14,2589.328,351.1,,,108,6,164,164,1.3,1.6,3.5,2.8,41,312,2,118,23
4/1/2012,52025,44655,7075,275,20,0,192,192,0.4,0.7,1,97,8488,827,29,48,1424,356,6.7,6.7,14,-43,2637.342,359.9,,,108,6,165,164,1.1,1.4,3.4,2.6,40,310,2,110,24
7/1/2012,37180,32855,4190,135,5,0,191,191,0.2,0.4,1,97,8506,842,26,49,1416,354,6.8,6.8,0,-29,2656.847,368.7,,,109,6,164,163,0.8,1.0,3.2,2.3,39,310,2,109,25
10/1/2012,31055,24705,6205,125,20,0,190,190,0.1,0.2,1,98,8502,824,31,49,1414,353,7.2,7.2,29,-29,2675.454,363.4,,,108,6,165,166,0.8,0.9,2.8,2.4,39,306,1,110,27
1/1/2013,36055,31860,4075,100,20,0,190,190,0.1,0.2,1,99,8463,824,14,49,1417,357,7.7,7.7,29,-43,2686.024,366.7,,,108,6,165,166,0.8,1.0,2.7,2.3,39,307,1,113,26
4/1/2013,44225,38505,5520,170,30,0,190,190,0.1,0.2,1,100,8434,814,6,48,1431,356,8.1,8.1,43,-43,2709.067,365.5,,,107,6,166,165,0.7,0.9,2.5,2.3,40,307,1,103,27
7/1/2013,40880,36110,4610,150,10,0,191,191,0.1,0.2,1,100,8415,813,10,52,1428,356,8.5,8.5,43,-29,2716.911,363.8,,,107,6,167,166,1.1,1.3,2.8,2.4,40,309,1,110,26
10/1/2013,34955,30805,3985,145,15,0,193,193,0.2,0.2,0,99,8421,794,4,54,1431,357,8.5,8.5,14,-57,2723.527,362.8,,,106,7,167,168,1.1,1.2,2.7,2.4,41,310,1,109,28
1/1/2014,38875,34640,4135,85,20,0,193,193,0.2,0.3,0,99,8360,789,8,53,1437,358,8.7,8.7,0,-57,2739.369,363.5,,,106,7,169,170,0.9,1.1,2.5,2.5,41,308,2,108,25
4/1/2014,46320,40770,5375,155,15,0,194,194,0.2,0.3,0,100,8355,781,7,52,1418,358,8.5,8.5,-14,-29,2778.633,356.7,,,106,7,168,168,0.7,0.8,2.1,2.5,39,309,2,110,19
7/1/2014,40605,35800,4685,105,15,0,194,194,0.1,0.2,0,100,8387,776,7,52,1441,360,8.1,8.1,0,-14,2796.301,354.1,,,106,7,169,169,0.3,0.6,1.7,2.3,41,310,2,104,19
10/1/2014,33500,29705,3680,100,10,0,196,196,0.0,0.1,0,99,8425,812,9,53,1439,358,8.1,8.1,14,0,2866.705,375.4,,,103,7,172,173,0.2,0.4,1.3,2.0,42,313,2,77,23
1/1/2015,38735,34360,4270,100,5,0,197,197,0.0,0.1,0,99,8435,886,4,52,1432,358,8.2,8.2,14,14,2935.294,414.9,,,100,7,172,172,0.0,0.3,0.8,2.0,44,315,2,55,21
4/1/2015,46895,41610,5110,160,15,0,198,198,0.0,0.0,0,101,8453,891,7,54,1432,358,8.0,8.0,-14,0,2915.197,411.0,,,102,6,174,174,0.1,0.4,1.0,1.9,45,318,2,63,21
7/1/2015,41610,36895,4575,120,25,0,199,199,-0.1,0.0,0,101,8470,882,11,53,1439,360,7.7,7.7,0,14,2921.25,409.0,,,100,6,176,176,0.1,0.4,1.2,1.8,46,317,2,51,20
10/1/2015,35710,31885,3715,105,5,0,199,199,-0.1,-0.1,0,100,8473,867,14,53,1445,361,7.7,7.7,0,50,2922.956,395.9,,,98,6,177,177,0.0,0.3,1.0,1.8,45,318,2,45,18
1/1/2016,39725,35690,3920,105,15,0,200,200,-0.3,-0.2,0,99,8495,884,7,52,1446,362,7.4,7.4,0,0,2947.873,396.6,,,95,6,177,177,-0.2,0.1,0.8,1.7,44,318,2,35,13
4/1/2016,47970,41790,5985,180,10,0,202,202,-0.3,-0.3,0,100,8547,886,14,52,1452,363,7.2,7.2,0,17,2967.71,394.0,,,97,6,179,178,-0.3,0.0,0.7,1.5,45,319,2,47,13
7/1/2016,42580,37680,4780,105,15,0,204,204,-0.4,-0.3,0,100,8598,882,10,53,1437,359,6.8,6.8,0,33,3019.404,387.9,,,98,6,181,181,-0.5,-0.1,0.4,1.5,46,322,2,47,13
10/1/2016,36540,32800,3640,95,5,0,205,205,-0.4,-0.3,0,100,8638,891,19,55,1450,363,6.5,6.5,0,17,3016.952,387.3,,,100,6,183,184,-0.3,0.0,0.8,1.5,47,325,2,51,17
1/1/2017,40735,36620,4015,90,10,0,207,207,-0.4,-0.3,0,100,8680,906,22,56,1444,361,6.3,6.3,17,0,3033.176,380.4,,,103,6,185,184,-0.3,0.2,1.1,1.5,48,325,3,55,19
4/1/2017,44650,39335,5155,150,10,0,208,208,-0.4,-0.3,0,102,8715,895,27,56,1457,364,6.1,6.1,0,-33,3045.653,371.8,,,102,6,187,186,-0.3,0.2,1.0,1.5,49,327,3,51,16
7/1/2017,42765,38460,4220,75,10,0,209,209,-0.4,-0.3,0,102,8774,886,31,57,1453,363,5.8,5.8,0,17,3060.896,369.7,,,101,6,189,189,-0.2,0.2,1.0,1.5,49,331,3,52,16
10/1/2017,40075,36330,3660,80,5,0,211,211,-0.4,-0.3,0,102,8811,883,48,59,1444,361,5.4,5.4,0,0,3064.036,363.3,,,103,6,191,192,-0.2,0.2,0.9,1.4,50,330,3,61,19
1/1/2018,42985,39220,3690,70,10,0,212,212,-0.4,-0.3,0,102,8859,881,36,60,1444,361,5.1,5.1,0,33,3084.28,362.1,,91,103,6,195,195,0.0,0.4,1.0,1.4,51,335,3,67,18
4/1/2018,49260,44220,4890,140,10,0,213,213,-0.4,-0.3,0,103,8910,888,35,58,1444,361,4.9,4.9,0,33,3081.608,362.5,,93,105,6,195,194,-0.1,0.4,1.0,1.3,51,336,3,75,21
7/1/2018,48860,44485,4265,110,10,0,214,214,-0.4,-0.3,0,104,8968,881,43,57,1455,364,4.9,4.9,0,50,3082.908,363.6,,94,107,6,198,198,-0.2,0.3,1.1,1.3,51,337,3,76,24
10/1/2018,43030,39345,3600,80,5,0,214,214,-0.4,-0.3,0,104,9021,883,56,56,1451,363,4.6,4.6,-17,33,3097.178,359.1,,93,106,6,200,201,-0.1,0.3,1.2,1.3,51,337,3,68,25
1/1/2019,50115,46000,4035,70,5,0,217,217,-0.4,-0.3,0,104,9069,881,47,53,1452,363,4.5,4.5,-17,33,3101.915,353.1,,92,105,6,205,205,-0.2,0.1,0.9,1.3,53,338,4,64,19
4/1/2019,55565,50400,5015,145,5,0,218,218,-0.4,-0.3,0,106,9102,898,29,52,1450,362,4.3,4.4,-17,17,3120.166,354.3,,94,107,5,207,205,-0.4,0.0,0.6,1.2,53,340,4,68,13
7/1/2019,54635,49955,4585,90,5,0,219,219,-0.4,-0.4,0,107,9126,916,34,51,1451,363,4.5,4.5,-17,0,3127.114,355.2,,93,106,5,208,208,-0.7,-0.4,0.0,1.1,54,340,4,62,12
10/1/2019,47190,43290,3785,115,0,0,219,219,-0.5,-0.4,0,106,9171,916,41,50,1455,364,4.4,4.5,-17,-17,3112.529,353.8,,93,106,5,210,211,-0.5,-0.2,0.1,1.1,53,342,4,62,16
1/1/2020,56665,52325,4270,60,10,0,217,217,-0.5,-0.4,0,106,9214,931,41,51,1374,343,4.1,4.1,-17,-17,3156.603,355.9,99.2,92,105,5,209,210,-0.5,-0.3,0.1,1.1,52,333,3,51,10
4/1/2020,53545,49395,4030,115,5,0,199,199,-0.5,-0.3,0,107,9048,983,44,42,1419,355,4.8,4.9,-17,50,3210.141,350.9,99.5,88,100,5,192,191,-0.5,-0.3,0.2,1.1,46,298,3,34,6
7/1/2020,45985,42155,3755,70,5,0,212,212,-0.5,-0.5,0,108,9070,995,40,50,1409,352,5.5,5.5,33,0,3221.64,350.9,100.6,89,101,5,206,206,-0.6,-0.4,0.0,1.0,50,324,3,43,8
10/1/2020,52360,47970,4325,55,10,0,213,212,-0.5,-0.5,0,107,9131,994,41,53,1413,353,5.1,5.1,33,17,3245.553,342.5,100.7,89,101,5,209,210,-0.7,-0.5,-0.2,1.2,53,321,3,45,14
1/1/2021,57045,51700,5285,60,5,0,214,214,-0.6,-0.5,0,107,9172,998,48,57,1417,354,4.7,4.7,33,-17,3303.891,341.3,101.4,94,107,5,211,212,-0.7,-0.4,-0.1,1.0,56,310,3,61,18
4/1/2021,61145,54885,6145,105,10,0,223,223,-0.6,-0.5,0,109,9198,1019,46,63,1432,358,4.4,4.4,17,-33,3344.797,351.2,101.7,98,112,5,222,221,-0.5,-0.3,0.1,1.0,59,332,4,69,24
7/1/2021,58895,52995,5795,100,5,0,227,227,-0.6,-0.6,0,110,9282,1040,48,62,1399,350,4.1,4.2,-17,0,3351.919,344.9,102.5,102,117,5,228,229,-0.6,-0.3,0.0,0.9,62,346,5,73,46
10/1/2021,54765,50170,4475,110,10,0,227,227,-0.6,-0.6,0,113,9364,1067,54,58,1400,350,3.8,3.8,0,17,3374.225,343.1,102.6,106,122,5,231,230,-0.5,-0.1,0.1,0.8,64,344,5,80,92
1/1/2022,58325,54105,4125,85,5,0,230,230,-0.6,-0.5,0,117,9445,1078,54,57,1422,356,3.4,3.5,0,33,3382.81,344.3,104.1,114,132,4,239,240,0.0,0.5,0.6,1.0,67,349,6,98,104
4/1/2022,60240,55195,4915,120,5,0,236,236,-0.5,-0.4,0,121,9541,1113,45,56,1411,353,3.3,3.3,17,33,3398.427,357.2,104.8,125,146,4,246,245,1.0,1.6,1.7,1.1,70,358,6,111,100
7/1/2022,61470,57030,4345,90,5,0,236,236,0.1,0.5,1,126,9550,1150,38,52,1416,354,3.7,3.8,33,33,3436.017,365.3,106.0,125,146,4,252,253,1.3,2.0,2.1,1.6,73,360,5,97,198
10/1/2022,60195,56380,3740,70,5,0,235,235,1.4,1.8,2,128,9651,1152,26,49,1414,354,3.6,3.6,17,0,3450.858,364.5,106.4,123,143,4,257,255,2.2,2.9,2.8,2.5,74,358,5,88,136
1/1/2023,63015,59020,3940,55,5,0,235,235,2.4,2.6,3,125,9703,1130,8,49,1417,354,3.5,3.6,0,-50,3388.402,357.3,109.9,122,,4,261,264,2.6,3.0,3.0,3.3,78,361,5,82,56
4/1/2023,66970,61840,4990,130,10,0,234,234,3.2,3.4,4,128,9727,1132,6,46,1414,353,3.5,3.5,17,-67,3388.116,354.6,110.8,120,,4,265,264,2.6,3.1,3.0,3.8,76,359,5,78,36
7/1/2023,64570,59570,4910,80,5,0,233,233,3.6,3.8,4,129,9733,1127,6,47,1413,353,3.6,3.7,0,-17,3404.25,355.8,112.7,120,,4,269,270,2.9,3.3,3.2,4.2,77,357,5,86,33
10/1/2023,61245,56735,4435,75,0,0,234,234,3.9,4.0,5,128,9783,1122,12,46,1408,352,3.6,3.6,0,-33,3435.189,364.3,113.6,118,,4,272,270,2.7,3.0,3.1,4.4,77,360,5,83,43
1/1/2024,57750,53635,4015,95,5,0,233,233,3.9,3.9,5,129,9802,1106,12,50,1401,350,3.6,3.7,0,-17,3422.555,365.2,117.2,119,,4,277,279,2.5,2.7,2.8,4.3,78,362,5,82,28
4/1/2024,60065,55080,4835,140,10,0,236,236,3.8,3.8,4,132,9819,1129,20,51,1402,350,3.6,3.7,0,-33,,370.6,117.9,120,,4,281,286,2.7,2.9,3.1,4.3,79,358,5,85,31
