,Startups,Startups_1_person,"All Economic Activities, 2 to 10 Employed Persons","All Economic Activities, 10 to 50 Employed Persons","All Economic Activities, 50 to 250 Employed Persons","Netherlands, Gross Domestic Product, Total, Total, Constant Prices, SA, EUR [billions]","Netherlands, GDP [thousands]","Netherlands, Interbank Rates, EURIBOR, 1 Month, Fixing","Netherlands, Three month money market rate","Netherlands, Policy Rates, ECB, Fixed Rate Tenders","Netherlands, Eurostat, HICP, All-Items HICP, 2015=100, Index","Netherlands, Employment","Netherlands, Monetary Statistics, Monetary Aggregates, M3, Total (incl. Currency in Circulation), EUR [billions]","Netherlands, Eurostat, Consumer Surveys, Eurostat, Consumer Confidence, Price Trends Over the Next 12 Months","Netherlands, Composite PMI, EUR","Netherlands, OECD Economic Outlook, Hours Worked per Worker, Total Economy, Estimate, Calendar Adjusted, SA","Netherlands, Total hours worked","Netherlands, Eurostat, Employment & Unemployment, Unemployment, LFS Adjusted Series, Unemployment by Sex & Age - Monthly Average, Males & Females, All Ages, Total, Percentage of Active Population, SA","Netherlands, Unemployment","Netherlands, Lending Surveys, Central Bank of Netherlands, Bank Lending Survey, Credit Standards Past 3 Months, Enterprises, Total","Netherlands, Lending Surveys, Central Bank of Netherlands, Bank Lending Survey, Demand for Loans Past 3 Months, Enterprises, Total","Netherlands, BIS Credit to Non-Financial Sectors, From All Sectors To Non Financial Sector, Market Value, Adjusted for Breaks, EUR [billions]","Netherlands, Deposits & Loans, MFIs, Loans, By Entity, to Euro Area Residents, Private Sector, Non-Financial Private Corporations, Total, EUR [billions]","Netherlands, Wages & Salaries, Wages, Hourly, Total, Incl. Bonus, Index","Netherlands, Producer Price Index, C Manufactured Products, Index","Netherlands, OECD MEI, Producer Prices Index, Economic Activities, Manufacturing, Total, Index","Netherlands, DG ECFIN AMECO, Population & Employment, Unemployment, NAWRU, Estimate","Netherlands, Gross Domestic Product, Total, Total, Current Prices, SA, EUR [billions]","Netherlands, Nominal GDP [thousands]","Netherlands, Government Benchmarks, Macrobond, 5 Year, Yield","Euro Area, Swap Rates, Macrobond, EUR, 5 Year, Mid","Euro Area 19, Long term interest rate","Netherlands, ECB, Interest Rates, MFI Interest Rates, Non-Financial Corporations, Loans (Cost Borrowing Indicator, Sum of A2A & A2Z (Non-Financial Corporations)), Annualised Agreed Rate (AAR) / Narrowly Defined Effective Rate (NDER), Total Calculated by Weighting the Volumes with a Moving Average, Total, New Business, Currency Denominator: Euro","Netherlands, Income Approach, Total Economy, Operating Surplus, Net, Current Prices, SA, EUR [billions]","Netherlands, OECD QNA, Gross Domestic Product, Gross Domestic Product - Expenditure Approach, Final Consumption Expenditure, Private Final Consumption Expenditure, Total, OECD Reference Year, Constant Prices, SA, AR, EUR [billions]","Netherlands, Eurostat, Job Vacancy, Job Vacancy Rate, Total, Business Economy (B-N), SA","World, Crude Oil, Brent, Spot, FOB North Sea, ICE, Close, USD","Natural Gas, Dutch TTF Natural Gas (TTFI), Index, EUR"
Startups,1.0,0.9749309504110137,0.6509041368639562,0.6040197470963687,0.42101687582492964,0.014525336967480056,0.013691300595181484,0.07156568674227118,0.08929624300504067,-0.03447738616893171,0.30744051687975377,0.003498452741769817,0.15910031906222583,-0.017015563040093367,-0.02483618888607035,-0.06613326663408102,-0.07275985933790478,-0.08912996926753494,-0.08988198420415379,-0.19218342073677752,0.02791899604844773,0.08865911204056039,0.023112951469344476,-0.11529454858568845,0.15692189858509362,0.17031545210998172,-0.08501403805322741,0.05936312667667881,0.010042017111584214,0.09497815586376628,0.09531584767931923,0.13929265385002546,0.09156306948866402,-0.050820038612908756,-0.04199197735638804,0.1253674464752045,0.12531850745374445,-0.07167584504450344
Startups_1_person,0.9749309504110137,1.0,0.4657329559634003,0.44554396865314333,0.3045202558891383,-0.005738924844734967,-0.00690226088566786,-0.001980313202284522,0.02736634756781999,-0.0468700721885208,0.33807565506619,0.015098544608006591,0.18363503465413536,-0.08479169534165368,-0.025858293319374344,-0.0993332188447746,-0.0724330328533248,-0.09999804050908563,-0.10045997651974269,-0.15166354484563838,-0.0324438212917202,0.0961092412033138,0.02394381025203669,-0.10734082909540689,0.14259491468238839,0.17212026373279699,-0.11089213097297324,0.04255828886958072,-0.010094786330593767,0.12272921279782865,0.09088302544836944,0.16119534686004708,0.024647594746841976,-0.07807994901207416,-0.04413578602927107,0.09870334881891038,0.16509555895932926,-0.06121744311976567
"All Economic Activities, 2 to 10 Employed Persons",0.6509041368639562,0.4657329559634003,1.0,0.8722863448551418,0.629262245326645,0.07812004441724646,0.0787899429514935,0.29008605273639804,0.2600751990544321,0.019816907191418372,0.06724497659125754,-0.03543391691859119,0.005313885525741074,0.21926019209937395,-0.01180594101771241,0.07195825058230014,-0.04643903228114596,-0.014139406813153527,-0.015788631586195926,-0.2429909823859633,0.22664751371326036,0.029358024283032823,0.01038727614453138,-0.1039126826796514,0.19246928009369813,0.08556753441664455,0.04102631689414779,0.09175997921026251,0.07691850697469284,-0.04405793841290318,0.06446248201515595,0.00014041175093206507,0.28013360220260275,0.06731319856639859,-0.015797224968199946,0.16740335821861213,-0.0704743190200691,-0.08406003302056514
"All Economic Activities, 10 to 50 Employed Persons",0.6040197470963687,0.44554396865314333,0.8722863448551418,1.0,0.6399143557890099,0.03857576684127235,0.03946161949697664,0.2778619546290672,0.2647260464272084,0.08815123884747297,0.11415048935356607,-0.08097879779619863,0.052754144032563184,0.24151514819834163,0.011465656221264041,0.15875200332785167,0.07460723564591945,0.012394320501529029,0.018570519265926094,-0.3079347426527499,0.08713670147148624,-0.074725799770032,0.019437067422055736,-0.24334149986394354,0.13772851495852612,0.18613581608255422,0.013529067852697751,0.04829281501151678,-0.004807055233493722,0.05719908558099627,0.17598658588069055,0.11134370174057595,0.2425006622694982,-0.031041366169857528,-0.034203508605431615,0.16738159296024882,0.08379886412692993,-0.026395314688176998
"All Economic Activities, 50 to 250 Employed Persons",0.42101687582492964,0.3045202558891383,0.629262245326645,0.6399143557890099,1.0,0.10999529001309294,0.10556578304423232,0.21550716933716865,0.2094394623117658,0.07304026064622303,0.08053629471889946,-0.047774505975767115,-0.0895787230825203,0.12589044663584364,0.0660465434938885,0.015819492021255436,-0.15336353522345064,-0.036868159720082574,-0.0533469285480581,-0.1309741959184762,-0.0981233990972104,-0.08965295887714406,-0.04224508219725885,-0.027809983907756852,-0.057445655188215046,0.09498753683209882,-0.00449758937592062,0.1487358122366442,0.11913326365123943,-0.10049499706945812,0.04171580984810807,-0.03200241126391408,0.1731421432447254,0.15523530389374407,0.00413818644054331,0.041765909597703835,-0.0042160008224522445,-0.014185982520637944
"Netherlands, Gross Domestic Product, Total, Total, Constant Prices, SA, EUR [billions]",0.014525336967480056,-0.005738924844734967,0.07812004441724646,0.03857576684127235,0.10999529001309294,1.0,0.9986459785864071,0.13720695692606552,0.09604098892077566,0.07956663250074576,0.10691541572150348,0.49574712652322833,-0.09866765181344836,0.07579508836846767,0.5716797554661834,-0.22596432612258568,-0.23655019613469092,-0.2725067075778091,-0.31485948055756546,0.07257734800507025,-0.2590519993508511,-0.1703135812131233,0.17278344686389413,-0.0038388593608998547,0.506615777927375,0.4746714853748446,-0.0038414125203612213,0.8688635723567408,0.7837816384601823,0.16810481712202513,0.21966306203435687,0.11263650236431161,0.11075247009456958,0.6749901462583949,0.8901663923823249,0.31627915983375715,0.3601601342529482,0.09348299429757097
"Netherlands, GDP [thousands]",0.013691300595181484,-0.00690226088566786,0.0787899429514935,0.03946161949697664,0.10556578304423232,0.9986459785864071,1.0,0.13593394252578436,0.09591094736519429,0.07945889757653227,0.11003457686328544,0.49297028537574195,-0.09724058383491302,0.07903924977438535,0.5724619872516741,-0.2256583655863076,-0.23622990210373487,-0.272137727660401,-0.31443315407861777,0.07247907672172961,-0.26573041326608643,-0.16379187760755054,0.17630024456177165,0.0019163890686936763,0.5178095607766666,0.482052818963538,-0.003836211165550208,0.8664456158217775,0.7805885035738668,0.16923539926419326,0.22199535540167784,0.11680650176845761,0.104925600354546,0.6740761951463966,0.8837052766987861,0.31584027219581334,0.3647787425743997,0.09284436141245646
"Netherlands, Interbank Rates, EURIBOR, 1 Month, Fixing",0.07156568674227118,-0.001980313202284522,0.29008605273639804,0.2778619546290672,0.21550716933716865,0.13720695692606552,0.13593394252578436,1.0,0.9774198286649874,0.6811023394181153,0.1253817428796754,0.19603000722596256,-0.09338468107249993,0.1516991689723688,-0.013892556799570252,0.02536630351274887,0.04564949548077922,-0.12953395304030593,-0.1352156352270377,-0.14096600694900313,0.09967082529837677,-0.2314588879655831,0.0763148946016142,0.23974220453767225,-0.3425105348850046,0.2729117211778488,0.0023571555754561603,0.3168262117122412,0.2753917032608195,0.4693453911635321,0.5577183130748244,0.3319346550324802,0.949110280993767,0.3637539476052126,0.07535046727544373,0.1649897259362527,0.10699363507292747,-0.35196290168144795
"Netherlands, Three month money market rate",0.08929624300504067,0.02736634756781999,0.2600751990544321,0.2647260464272084,0.2094394623117658,0.09604098892077566,0.09591094736519429,0.9774198286649874,1.0,0.6945607560359238,0.1866362261386647,0.17672700046844234,-0.02298321686636002,0.15785616535468658,-0.05673038117539182,0.046050466259454644,0.08556336086851514,-0.1390776244570768,-0.13701418637524967,-0.1060915196435299,0.08834402791573623,-0.18128114291924127,0.10895485945078717,0.13255551607504157,-0.30836355649511976,0.29497776602016834,-0.02386960959182104,0.2827140363484658,0.23012600194430294,0.5103228407608659,0.6111540887043526,0.3897284730364776,0.9448063598441541,0.3250275339102221,0.022015848570613533,0.15395283325762832,0.1478103599072382,-0.21748740008859604
"Netherlands, Policy Rates, ECB, Fixed Rate Tenders",-0.03447738616893171,-0.0468700721885208,0.019816907191418372,0.08815123884747297,0.07304026064622303,0.07956663250074576,0.07945889757653227,0.6811023394181153,0.6945607560359238,1.0,0.09601027045990575,0.19923099994310833,0.011344760762007074,0.012801810168234493,-0.03504723684489112,-0.0020872307126935385,0.021460673217869118,-0.10334777440380993,-0.11434980622777455,0.016989699635307016,-0.11925165104432775,-0.1895255482898569,0.10459389978779969,0.19274321969938307,-0.3326581189363337,0.22936346667440546,-0.12602288409353893,0.2563041743996684,0.14322320223513524,0.35430153193413294,0.4047666129768917,0.2732386975411764,0.6350800318454797,0.2719498463864905,0.10115716052513363,2.2969133204376958e-17,0.06999298631478787,-0.14842597224480844
"Netherlands, Eurostat, HICP, All-Items HICP, 2015=100, Index",0.30744051687975377,0.33807565506619,0.06724497659125754,0.11415048935356607,0.08053629471889946,0.10691541572150348,0.11003457686328544,0.1253817428796754,0.1866362261386647,0.09601027045990575,1.0,0.09333974361255953,0.34647387849618966,-0.042908791838898355,-0.15710508533532877,0.050987280034882086,0.1088005167931825,0.037125374789393505,0.026560131996796948,0.11983538292000323,0.03224890557682798,0.10940432851695168,0.09700726267244814,-0.323630775653855,0.4577809624300791,0.4892400166287032,-0.3325858797889364,0.2835127527510267,0.1668483214431043,0.3596657721077468,0.4191391726773741,0.42235111876057446,0.12488469692179058,0.09714778673853272,0.09862310448215253,-0.009257269020275094,0.24734491142884743,0.41928794609424563
"Netherlands, Employment",0.003498452741769817,0.015098544608006591,-0.03543391691859119,-0.08097879779619863,-0.047774505975767115,0.49574712652322833,0.49297028537574195,0.19603000722596256,0.17672700046844234,0.19923099994310833,0.09333974361255953,1.0,-0.06063902452691958,-0.06378129591858243,-0.019249849590079735,-0.23301570921010065,-0.3352171897328501,-0.6659658798434914,-0.6921456821098021,0.14361529715501936,-0.12803077250398684,-0.10158278977755655,0.0646219685127491,0.007046300047359684,0.4822106696280788,0.29888078012811387,-0.1868658007172955,0.5840995605986501,0.5310091075029376,0.2263823058818608,0.21115796038203533,0.22295796642260834,0.17272304323814816,0.45373215348353385,0.4580719585304215,0.09478127469776138,0.09292454257340539,-0.04768472050226742
"Netherlands, Monetary Statistics, Monetary Aggregates, M3, Total (incl. Currency in Circulation), EUR [billions]",0.15910031906222583,0.18363503465413536,0.005313885525741074,0.052754144032563184,-0.0895787230825203,-0.09866765181344836,-0.09724058383491302,-0.09338468107249993,-0.02298321686636002,0.011344760762007074,0.34647387849618966,-0.06063902452691958,1.0,-0.07818387424618853,-0.20335137995914893,-0.018042604902348,0.040554913557599465,0.17084900923414723,0.16244755695356827,0.14086366529692296,-0.004216082647383524,0.434682333762926,0.5778917094269886,-0.6264315451205388,0.23615714425898424,0.05649312262541796,-0.12058416921046541,-0.13733165571869008,-0.2176219755768232,0.06888317547931827,0.11753672807937424,0.1068397456076182,-0.12965753848547024,-0.03725262092271697,-0.09094271097127175,-0.0012161290535393856,-0.14376404802915743,0.33800640484132755
"Netherlands, Eurostat, Consumer Surveys, Eurostat, Consumer Confidence, Price Trends Over the Next 12 Months",-0.017015563040093367,-0.08479169534165368,0.21926019209937395,0.24151514819834163,0.12589044663584364,0.07579508836846767,0.07903924977438535,0.1516991689723688,0.15785616535468658,0.012801810168234493,-0.042908791838898355,-0.06378129591858243,-0.07818387424618853,1.0,0.2375097619993735,0.05011954820365238,0.060408429702090545,-0.14463816323136686,-0.15589758017834254,-0.09290028540843526,0.1439180180931358,-0.0717700082667091,-0.025106525344314817,-0.40230242046213277,-0.053757406311118146,0.2720633014910891,0.1428862853331755,-0.005440391589219111,0.03960181375584296,-0.0021015371321935787,0.09008882121998718,0.04523895816345192,0.15026329237722993,0.018811310163767612,-0.11622283716424807,0.13151445737390793,0.2921567749820438,0.28709895828362236
"Netherlands, Composite PMI, EUR",-0.02483618888607035,-0.025858293319374344,-0.01180594101771241,0.011465656221264041,0.0660465434938885,0.5716797554661834,0.5724619872516741,-0.013892556799570252,-0.05673038117539182,-0.03504723684489112,-0.15710508533532877,-0.019249849590079735,-0.20335137995914893,0.2375097619993735,1.0,-0.2380518942474392,-0.17023220793936844,-0.07877910340070031,-0.09181649012112755,-0.1901894382685536,-0.12333186382431345,-0.22390552530529245,0.01676761739226984,0.21667072192454823,0.2681876645097825,0.34549528508889865,0.07448982341778013,0.4432061004844623,0.45337152544693105,0.14620091164422533,0.16281173838163496,0.057548165601330616,-0.019140984596621724,0.4006442542505279,0.48025171399207983,0.12370014966731277,0.47760965122177923,-0.09150924177898866
"Netherlands, OECD Economic Outlook, Hours Worked per Worker, Total Economy, Estimate, Calendar Adjusted, SA",-0.06613326663408102,-0.0993332188447746,0.07195825058230014,0.15875200332785167,0.015819492021255436,-0.22596432612258568,-0.2256583655863076,0.02536630351274887,0.046050466259454644,-0.0020872307126935385,0.050987280034882086,-0.23301570921010065,-0.018042604902348,0.05011954820365238,-0.2380518942474392,1.0,0.8737472518024413,0.17181016691766934,0.22047762086062025,0.0015568549683076614,0.07840162119257713,-0.03762482995850354,-0.05172483983756241,-0.14760510185016315,-0.019467630951947805,-0.09344074202352846,-0.04628788836799055,-0.15942020050259634,-0.1561022270195509,-0.083357460404182,-0.029061454197627172,0.014423997575048548,0.010872101619010607,-0.04457080014109912,-0.18998693295637517,0.22806829074059373,-0.07968134291876934,0.03959650834129035
"Netherlands, Total hours worked",-0.07275985933790478,-0.0724330328533248,-0.04643903228114596,0.07460723564591945,-0.15336353522345064,-0.23655019613469092,-0.23622990210373487,0.04564949548077922,0.08556336086851514,0.021460673217869118,0.1088005167931825,-0.3352171897328501,0.040554913557599465,0.060408429702090545,-0.17023220793936844,0.8737472518024413,1.0,0.17796780190424993,0.22930169953826096,-0.02951344202124871,0.04930667074562666,-0.06511637851100917,-0.017363725916080135,-0.18146212214940594,-0.022995735092261778,-0.02274873146239185,-0.047301653606137334,-0.20441838457605618,-0.20183466696415242,0.090479769028366,0.11341738461773053,0.1029171106655805,0.07447703391708302,-0.101272504119721,-0.19507765701559238,0.25262961400282846,0.0648355623395834,0.03228372598879294
